Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X140;X141;X142;X143;X144;X145;X146;X147;X148;X149;X150;X151;X152;X153;X154;X155;X156;X157;X158;X159;X160;X161;X162;X163;X164;X165;X166;X167;X168;X169;X170;X171;X172;X173;X174;X175;X176;X177;X178;X179;X180;X181;X182;X183;X184;X185;X186;X187;X188;X189;X190;X191;X192;X193;X194;X195;X196;X197;X198;X199;X200;X201;X202;X203;X204;X205;X206;X207;X208;X209;X210;X211;X212;X213;X214;X215;X216;X217;X218;X219;X220;X221;X222;X223;X224;X225;X226;X227;X228;X229;X230;X231;X232;X233;X234;X235;X236;X237;X238;X239;X240;X241;X242
N;0.245079792;0.237623762;0.250397096;0.258426966;0.333333333;0.090909091;0.125;0;0;0;0;0;0;0.277777778;0.333333333;0.5;0.04;0;0.46;0.34;0.222222222;0.333333333;0;0.230769231;0.076923077;0.096774194;0.399026764;0.238227552;0.268613139;0.259710586;0.221813585;0.220366886;0.111346445;0.029081518;0.076923077;0.39800995;0.322048611;0.187517631;0.249183092;0.774258421;0.930258252;0;0;0.632352748;0.53599862;0.559459387;0.608879169;0.072662397;0;0;0;0.246229236;0;0;0;0;0;0;1;0;0;0;0;0.09155876;0;0.067521382;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.144544689;0.117897674;0;0;0.448036854;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0.333333333;0.111111111;0.0625;0.388888889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333177625;0.334140436;0.29508307;0.186147186;0.105801105;0.536187564;0;0;0;0.083333333;0.111111111;0;0.125;0.2;0.090909091;0.069029851;0.879594423;0;0.889432485;0.118210863;0.86846543;0.183418512;0.118421053;0.448979592;0.521126761;0.214808044;0.120405577;0.24682035;0.22886133;0.301115242;0.303030303;0.816399287;0.282536151;0.537279711;0.358937198;0.753650495;0.197505198;0.089252043;0.314070539;0.089252043;0.314070539;0.222741433;0.740932642;0.267379679;0.71;0.68161435;0.311111111;0.253496503;0.11820331;0.378580324;0.311111111;0.319770676;0.238400389;0.225084088;0.23844475;0.260364396;0.265436901;0.079254899;0.107895188;0;0.072074468;0.374285714;0.241496599;0.795293021;0.690915186;0.706911063;0.633146088;0.166985925;0.562266965;0.40483824;0.500833333;0.245454545;0.111613195;0.178571429;0.093251162;0.096742986;0.132901135;0.310659187;0.267299578;0.177577421;0.112887904;0.271799739;0.079518454;0.188526409;0.17756282;0.289954338;0.063784247;0.245728897;0.244897959;0.282000948;0.282823002;0;0.125;0;0.9961;0.0039;0;0;0.498074904;0.1602;0.196600148
N;0.184001901;0.148514851;0.164170638;0.202247191;0.26984127;0.181818182;0;0;0;0;0;0;0;0.244444444;0.111111111;0.43;0.04;0;0.52;0.56;0.444444444;0.333333333;0.285714286;0.230769231;0;0.096774194;0.399026764;0.167007897;0.216788321;0.219345011;0.133892656;0.109595484;0.069440242;0.016842578;0.2;0.18159204;0.295138889;0;0.302751368;0.794178908;0.956552667;0;0;0.727131722;0.55974365;0.590615624;0.608879169;0.072662397;0;0;0;0.254406265;0;0;0.533315745;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.153200717;0.059640689;0;0;0.427691274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.26984127;0.074074074;0.0625;0.388888889;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.305150064;0.3062954;0.276249411;0.163059163;0.067403315;0.490316004;0;0;0;0.083333333;0.074074074;0;0;0.2;0.181818182;0.069029851;0.923954373;0;1;0.118210863;0.797639123;0.127768313;0.072368421;0.183673469;0.422535211;0.131474711;0.076045627;0.158187599;0.133408493;0.141263941;0.454545455;0.872846108;0.199666296;0.619069137;0.328019324;0.634950542;0.338461538;0.06159648;0.225710238;0.06159648;0.225710238;0.127725857;0.626943005;0.545454545;0.655;0.544843049;0.362962963;0.215034965;0.241134752;0.302615193;0.362962963;0.250802208;0.177522713;0.147889458;0.134843722;0.107466918;0.100828488;0.054213162;0;0.171438427;0.031914894;0.277142857;0.484693878;0.86112082;0.710526316;0.706724025;0.632595367;0.168443408;0.56045595;0.398134655;0.5;0.215584416;0.106190691;0.180501931;0.093958375;0.096742986;0.236628849;0.360649169;0.179535865;0.176597413;0.115104497;0.154466722;0.134484397;0.177984909;0.122192573;0.386605784;0.091609589;0.189108688;0.180758017;0.213632979;0.217550411;0;0.25;0;0.9983;0.0017;0;0;0.499174959;0.0501;0.246119734
N;0.275198986;0.242574257;0.241604266;0.269662921;0.301587302;0.090909091;0.25;0;0.333333333;0;0;0;0;0.3;0.333333333;0.64;0.14;0;0.21;0.52;0.333333333;0.166666667;0.285714286;0.230769231;0.230769231;0.032258065;0.199513382;0.242322316;0.279075426;0.293729373;0.215262613;0.19943556;0.115279879;0.04235347;0.476923077;0.166666667;0.5;0;0.402866294;0.830238581;0.950312032;0;0.23554768;0.597769365;0.220487363;0.423529254;0.608879169;0.072662397;0;0;0;0.218979818;0;0;0;0;0;0;1;0;0;0;0.109707736;0;0.523195022;0.060059687;0;1;0.544377229;0.159503816;1;0;0;0;0;0;0.114402704;0;0;0.18313996;0.154686499;0;0.24311272;0.230070992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.125;0;0;0;0;0;0;0;0;0.301587302;0.185185185;0.1875;0.388888889;0;0.25;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.492000467;0.507263923;0.529158539;0.463203463;0.230662983;0.627930683;0;0;0;0.166666667;0.185185185;0.125;0.25;0.2;0.090909091;0.154850746;0.748415716;0.121372032;0.703522505;0.118210863;0.84148398;0.195343555;0.156578947;0.448979592;0.507042254;0.26812919;0.251584284;0.240063593;0.21307779;0.743494424;0.141414141;0.493166964;0.414905451;0.563036602;0.290338164;0.774375883;0.294386694;0.119421747;0.244426217;0.119421747;0.296100216;0.873831776;0.694300518;0.331550802;0.785;0.504484305;0.251851852;0.237762238;0.146572104;0.899128269;0.251851852;0.335215847;0.289807755;0.226432532;0.210150952;0.141133746;0.117087069;0.090853176;0.104298681;0;0.113031915;0.374285714;0.258503401;0.789118024;0.698457928;0.704666604;0.632925799;0.168318481;0.56056248;0.288254153;0.33375;0.254545455;0.111613195;0.124195624;0.04940392;0.046651618;0.023563147;0.030054097;0.032172996;0.108388867;0.045835972;0.053387116;7.92016E-05;0.033288948;0.033244385;0.350076104;0.059503425;0.267056311;0.271137026;0.283287078;0.278117999;0.166666667;0;0.9981;0;0.0019;0;0.128901458;0;0.3845;0.094850949
N;0.09838039;0.113861386;0.121624688;0.101123596;0.142857143;0;0.0625;0;0;0;0;0;0;0.122222222;0;1;0;0;0;0;0.222222222;0;0.285714286;0;0.076923077;0;0;0.091839719;0.096593674;0.143183549;0.064820136;0.019990593;0.043267776;0.00278464;0.138461538;0.383084577;0.125868056;0.16226739;0.329775085;0.803034336;0.972792445;0;0;0.647856777;0;0.401776147;0.608879169;0.072662397;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.126739495;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0.104898561;0;0;0;0.077255589;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0.037037037;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.143991592;0.139225182;0.109437008;0.06017316;0.055801105;0.347604485;0;0;0;0.083333333;0.037037037;0.125;0.0625;0;0;0.083955224;0.951204056;0.118733509;0.924657534;0;1;0.069278819;0.051315789;0.346938776;0.535211268;0.119744059;0.048795944;0.155405405;0.123261932;0.159851301;0.313131313;0.872251931;0.256952169;0.607772255;0.262318841;0.597268017;0.381704782;0.013513514;0.159570502;0.013513514;0.159570502;0.274143302;0.222797927;0.374331551;0.96;0.755605381;0.29382716;0.078671329;0.165484634;0.419676214;0.29382716;0.125957301;0.210374757;0.163282931;0.127698823;0.03648102;0.003821545;0;0;0;0;0;1;0.874985436;0.759805565;0.70616291;0.632962514;0.168235196;0.56066901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.240487062;0.163099315;0.100932899;0.102040816;0.129289921;0.116504854;0;0;0;0;1;0;0;0;0.1818;0.223946785
N;0.238506316;0.143564356;0.124461085;0.202247191;0.19047619;0;0.25;0;0.333333333;0;0.333333333;0;0.222222222;0.222222222;0.111111111;0.38;0.1;0;0.52;0.4;0.222222222;0.333333333;0;0.153846154;0;0.032258065;0.199513382;0.185726821;0.206812652;0.218075654;0.165153431;0.148871119;0.092586989;0.019088255;0.430769231;0.268656716;0.361111111;0;0.172795429;0.772669852;0.950312032;0;0;0.557402369;0.2078424;0.466305454;0.608879169;0.072662397;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.108277762;0.077898083;0;0.129067819;0;1;1;0.159503816;1;0;0.474677966;0;0.314991848;0;0.119578358;0;0;0;0.022271236;0;0;0.249688445;0;0;0;0.333333333;0.111111111;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0.222222222;0.148148148;0.0625;0.388888889;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.372883335;0.370460048;0.373780857;0.264069264;0.175690608;0.536187564;0;0;0;0.083333333;0.148148148;0.125;0.25;0;0;0.089552239;0.855513308;0.126649077;0.776908023;0;1;0.173197047;0.169736842;0.489795918;0.436619718;0.12400975;0.144486692;0.0790938;0.126644119;0.308550186;0.444444444;0.749257279;0.267519466;0.624039765;0.346376812;0.597739049;0.314345114;0.071967316;0.109089553;0.315210559;0.115800462;0.397196262;0.497409326;0.219251337;0.555;0.437219731;0.281481481;0.68006993;0.096926714;0.242839352;0.281481481;0.113678176;0.081278391;0.098315203;0.069903089;0.055404385;0.047667205;0.25191108;0.211680082;0;0.279787234;0.614285714;0.231292517;0.612606315;0.729299363;0.777330964;0.562874032;0.19213792;0.402791094;0.375109298;0.029583333;0.480519481;0.428829643;0.335907336;0.259244292;0.312802322;0.251340232;0.148968143;0.111814346;0.03998432;0.041244459;0.693557955;0.031284651;0.008988016;0.326217478;0.589041096;0.087756849;0.215184894;0.221574344;0.187301158;0.200746826;0.083333333;0;1;0;0;0;0.129133899;0;0.5;0
N;0.976248367;0.995049505;0.996653052;0.97752809;1;1;0.875;0;0;0;0;0;0;0.977777778;0.703703704;0.87;0.13;0;0;0.08;0.111111111;0;0.142857143;0.923076923;0.230769231;0;0;0.97704007;0.979318735;0.970043158;0.977014136;0.979303857;0.441603631;0.938064226;0;0.893034826;0.940972222;0.921761461;0.159191702;0.05082576;0.950312032;0;0.203056583;0.127384098;0;0.401776147;0.608879169;0.072662397;0;0;0;0.803721908;0.855928328;0;0;0;0;0;1;0;0;0;0.275915266;0.087832267;0;0.922144935;0;1;1;0.159503816;1;0;0;0;0;0;0.239597949;0;0;0.818406412;0.987816235;0;0.255005171;0;0;0.4;0;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0.925925926;0.6875;0.666666667;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.925259839;0.946731235;0.852021255;0.748917749;0.850828729;0.98980632;0;0;0;0.5;0.925925926;0.25;0.875;0.8;1;0.453358209;0.076679341;0.245382586;0.136986301;0.479233227;0.030354132;0.941510505;0.902631579;0.367346939;0.366197183;0.980956734;0.923320659;0.990461049;0.939872228;0.241635688;0.323232323;0.579322638;0.00945495;1;0;0.762129063;0.562577963;0.951288498;1;0.951288498;1;0.247663551;0.792746114;0.229946524;0.885;0.717488789;0.427160494;0.270979021;0.101654846;0.398505604;0.427160494;1;0.997424562;1;1;1;1;0.917142606;0.892789861;1;0.618617021;0.39;0.181972789;0.307118723;0.119091519;0.590947349;0.051510812;0.877821271;0.43261958;0.640338094;0.113333333;0.237662338;0.110257569;0.396557272;0.114366539;0.445125228;0.491335245;0.204367862;0.491772152;0.060760486;0.121754275;0.928579903;0.019562807;0.230137594;0.931287525;0.394216134;0.000428082;0.986428009;0.979591837;0.997156976;0.994324122;0;0.875;0;0;1;0;0;0;0.4382;0.166050751
N;0.338914188;0.26980198;0.272804629;0.337078652;0.349206349;0.454545455;0.1875;0;0;0;0.166666667;0;0.111111111;0.377777778;0.222222222;0.6;0.09;0;0.31;0.62;0.444444444;0.333333333;0.285714286;0.076923077;0.153846154;0.032258065;0.199513382;0.299795262;0.352554745;0.353896928;0.265486726;0.261523989;0.137821483;0.084033236;0.6;0.077114428;0.689236111;0.052030136;0.461435092;0.772669852;0.950312032;0;0.082905968;0.60881081;0.281127052;0.584226318;0.608879169;0.072662397;0;0;0;0;0.753117985;0;0.478716693;0;0;0;1;0;0;0;0;0;0;0.141890825;0.609338505;1;1;0.159503816;1;0;0;0;0.154922132;0;0;0;0;0;0.146838593;0;0.172161324;0.295185953;0;0;0;0;0.111111111;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.365079365;0.296296296;0.375;0.444444444;0;0.75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.703374985;0.692493947;0.70404251;0.45021645;0.200552486;0.643221203;0;0;0;0;0.296296296;0;0.1875;0;0.454545455;0;0.752217997;0;0.843444227;0;0.610455312;0.314026122;0.388157895;0.530612245;0.070422535;0.237355271;0.247782003;0.233704293;0.221345359;0.271375465;0.464646465;0.81164587;0.194104561;0.531857207;0.419806763;0.617522374;0.281912682;0.235386549;0.299306539;0.402891263;0.299306539;0.624610592;0.689119171;0.28342246;0.135;0.632286996;0.320987654;0.935314685;0.125295508;0.351183064;0.320987654;0.340906174;0.285812784;0.242341141;0.163929954;0.121113675;0.107576966;0.258852473;0.208597363;0.296998965;0.206648936;0.507142857;0.137755102;0.818827916;0.48231646;0.324324324;0.76759555;0.162113767;0.588899542;0.406878461;0.057916667;0.354545455;0.826931767;0.456885457;0.437563144;0.304095453;0.359930183;0.160088159;0.190611814;0.001960016;0.096184294;0.001305018;0.047679392;0.003550821;0.050589282;0.602739726;0.048373288;0.347589075;0.329446064;0.325526298;0.336818521;0;0.625;0;0.8946;0.1054;0;0;0.447372369;0.2845;0
N;0.203801529;0.173267327;0.182720672;0.213483146;0.253968254;0.090909091;0.1875;0;0;0;0;0;0;0.244444444;0.148148148;0.52;0.04;0;0.43;0.26;0.333333333;0.333333333;0.142857143;0.153846154;0.076923077;0.032258065;0.199513382;0.190699035;0.221654501;0.232038588;0.159521894;0.123706491;0.072617247;0.018504379;0.246153846;0.26119403;0.294270833;0.100307876;0.30119501;0.772669852;0.914048745;0;0;0.593944293;0.162762375;0.633793667;0.608879169;0.233715899;0;0;0;0;0;0;0;0;0.270282395;0;1;0;0;0;0.117404769;0.092974576;0;0.064361966;0;1;1;0.159503816;1;0;0;0;0;0;0.118139941;0.213778608;0;0;0.103184029;0;0;0.133615016;0;0;0;0;0.111111111;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0.253968254;0.148148148;0.0625;0.333333333;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.308653509;0.3062954;0.302482007;0.206349206;0.172099448;0.500509684;0;0;0;0.166666667;0.111111111;0.125;0.1875;0.2;0;0.160447761;0.881495564;0.124010554;0.81702544;0.124600639;1;0.178875639;0.173684211;0.448979592;0.507042254;0.18738574;0.153992395;0.191971383;0.193536265;0.304832714;0.414141414;0.780154486;0.296440489;0.59195662;0.307729469;0.644371173;0.327650728;0.105908234;0.228543733;0.105908234;0.228543733;0.193146417;0.725388601;0.262032086;0.82;0.639013453;0.417283951;0.248251748;0.115839243;0.354919054;0.417283951;0.25354041;0.190298507;0.192797188;0.195679285;0.141340672;0.103745697;0.141200246;0.104469943;0.126595378;0.167553191;0.524285714;0.258503401;0.767097751;0.660492792;0.683157206;0.661820318;0.128758224;0.581975072;0.308364908;0.335;0.296103896;0.111613195;0.137870013;0.080319256;0.205095131;0.088143623;0.020236426;0.092721519;0.131321051;0.091513616;0.149365287;0.064153334;0.106857523;0.00466978;0.439878234;0.086044521;0.205069124;0.201166181;0.214242199;0.221732636;0.166666667;0;0.9966;0;0.0034;0;0.128694844;0;0.3332;0.117762996
N;0.175242545;0.146039604;0.15010211;0.179775281;0.206349206;0.090909091;0.125;0;0;0.111111111;0;0;0.111111111;0.211111111;0.111111111;0.7;0;0;0.3;0.78;0.333333333;0.166666667;0.285714286;0.076923077;0.153846154;0.032258065;0.199513382;0.15165253;0.190754258;0.194211729;0.12653718;0.117121355;0.076550681;0.014282506;0.446153846;0.171641791;0.328993056;0;0.399922903;0.776810272;0.950312032;0;0;0.647856777;0.083916102;0.578352711;0.608879169;0.072662397;0;0;0;0.240057893;0;0;0;0;0;0;1;0;0;0;0;0.178234907;0;0;0;1;1;0.159503816;1;0;0;0.115982332;0;0;0;0;0;0.142330356;0.120959168;0;0;0.09823779;0;0;0;0;0.222222222;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714;0.111111111;0;0.166666667;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.337848885;0.337772397;0.328714603;0.086002886;0.084254144;0.480122324;0;0;0;0.083333333;0.111111111;0;0.125;0.2;0.090909091;0.072761194;0.872623574;0;0.880626223;0.124600639;0.866779089;0.137421919;0.123684211;0.163265306;0.563380282;0.138482633;0.127376426;0.154610493;0.112363773;0.137546468;0.292929293;0.874034462;0.127919911;0.620424763;0.403381643;0.554404145;0.363409563;0.051225644;0.209753188;0.051539912;0.209753188;0.196261682;0.632124352;0.245989305;0.73;0.643497758;0.474074074;0.216783217;0.066193853;0.357409714;0.474074074;0.245411372;0.187013303;0.145995576;0.096767908;0.063329643;0.056584142;0.036376417;0.023976708;0;0.056382979;0.2;0.887755102;0.877898171;0.750586658;0.69550173;0.630979917;0.17181644;0.56066901;0.233168173;0.104166667;0.264935065;0.127880705;0.128700129;0.080824409;0.085993765;0;0;0;0.077616621;0.039344522;0.051132993;0.024235704;0.083777186;0;0.490106545;0.111729452;0.165730021;0.172011662;0.176809044;0.174607916;0;0.125;0;0.92;0.08;0;0;0.460023001;0.2267;0.262872629
N;0.207745614;0.173267327;0.178125709;0.213483146;0.222222222;0.181818182;0.25;0;0;0;0;0;0;0.233333333;0.185185185;0.64;0.09;0;0.27;0.38;0.222222222;0.166666667;0.142857143;0.076923077;0;0.032258065;0.199513382;0.193623867;0.221411192;0.224422442;0.176531433;0.178739417;0.111800303;0.022411857;0.384615385;0.258706468;0.384548611;0.081008453;0.354496687;0.782382938;0.950312032;0;0;0.621265297;0.140716728;0.544705047;0.608879169;0.072662397;0;0;0.237036498;0;0;0;0.420745346;0;0;0;1;0;0;0;0;0.24659148;0;0.060341411;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0.256736646;0;0.094510425;0;0;0.154625714;0;0;0;0;0.222222222;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090909091;0;0;0;0;0;0.222222222;0.222222222;0.3125;0.277777778;0;0.75;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.395071821;0.39346247;0.373780857;0.383838384;0.229558011;0.500509684;0;0;0;0.083333333;0.222222222;0;0.25;0.2;0.181818182;0.143656716;0.810519645;0;0.794520548;0.24600639;0.849915683;0.176604202;0.180263158;0.653061224;0.169014085;0.185100548;0.189480355;0.180445151;0.177376926;0.29739777;0.262626263;0.770647653;0.276418242;0.593764121;0.325603865;0.661799341;0.330977131;0.150534255;0.214898218;0.150534255;0.214898218;0.275700935;0.766839378;0.240641711;0.675;0.757847534;0.449382716;0.262237762;0.106382979;0.420921544;0.449382716;0.230436829;0.168011843;0.129465774;0.113759776;0.094999638;0.094848208;0.162288024;0.15944511;0.13038979;0.143085106;0.297142857;0.161564626;0.786671327;0.61330875;0.773403161;0.618937475;0.158241026;0.558325344;0.284465171;0.187083333;0.424675325;0.228197018;0.309202059;0.246817539;0.204987638;0.092881187;0.093468243;0.031540084;0.237749902;0.134024699;0.379048523;0.062173293;0.030514869;0.03802535;0.50456621;0.088613014;0.206108801;0.204081633;0.201651662;0.206348021;0.083333333;0.125;0;0;1;0;0;0;0.4762;0.234540527
