Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X140;X141;X142;X143;X144;X145;X146;X147;X148;X149;X150;X151;X152;X153;X154;X155;X156;X157;X158;X159;X160;X161;X162;X163;X164;X165;X166;X167;X168;X169;X170;X171;X172;X173;X174;X175;X176;X177;X178;X179;X180;X181;X182;X183;X184;X185;X186;X187;X188;X189;X190;X191;X192;X193;X194;X195;X196;X197;X198;X199;X200;X201;X202;X203;X204;X205;X206;X207;X208;X209;X210;X211;X212;X213;X214;X215;X216;X217;X218;X219;X220;X221;X222;X223;X224;X225;X226;X227;X228;X229;X230;X231;X232;X233;X234;X235;X236;X237;X238;X239;X240;X241;X242
S;0.356005227;0.292079208;0.291071023;0.370786517;0.396825397;0.272727273;0.375;0;0;0;0;0;0;0.4;0.296296296;0.54;0.14;0;0.32;0.48;0.333333333;0.333333333;0.142857143;0.230769231;0.076923077;0.096774194;0.399026764;0.344106464;0.382481752;0.38055344;0.316630272;0.311618062;0.152647504;0.087199641;0.292307692;0.21641791;0.564236111;0.160112742;0.240205209;0.735629999;0.950312032;0;0;0.660252113;0.407643624;0.497227282;0.608879169;0.072662397;0;0;0;0.224651576;0.211264239;0;0;0;0;0;0.560516041;0;0;0;0;0.165354885;0;0.277737699;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.184585682;0.14836934;0;0;0.432683152;0;0;0;0;0;0;0;0;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0.396825397;0.333333333;0.375;0.555555556;0;0.25;1;0;1;0;0;0;0;0;0;0;1;0;0;0;5.59E-01;5.71E-01;6.17E-01;6.57E-01;3.15E-01;6.43E-01;0;0;0;0.083333333;0.296296296;0;0.375;0.2;0.181818182;0.070895522;0.731939163;0;0.69667319;0.121405751;0.809443508;0.329358319;0.317105263;0.510204082;0.323943662;0.266758074;0.294676806;0.249205087;0.251409245;0.271375465;0.464646465;0.730243613;0.289210234;0.476728423;0.605797101;0.387658973;0.454885655;0.284098052;0.347550518;0.284098052;0.347550518;0.255451713;0.735751295;0.229946524;0.66;0.728699552;0.424691358;0.251748252;0.101654846;0.404732254;0.424691358;0.342831472;0.280459117;0.270203933;0.233482294;0.207815588;0.193440168;0.335647131;0.401438603;0.166954122;0.263829787;0.772857143;0.149659864;0.700221368;0.438065706;0.704666604;0.628116166;0.087615558;0.589964845;0.492276304;0.39125;0.296103896;0.277451423;0.381756757;0.274398868;0.240030098;0.306819599;0.251051893;0.314451477;0.102704822;0.380937302;0.068572784;0.103278948;0.024966711;0.322548366;0.512937595;0.04494863;0.350932899;0.346938776;0.340756786;0.356086632;0;0.25;0;0.2364;0.7636;0;0;0.11820591;0.4218;0.086967233
N;0.195921277;0.178217822;0.195541184;0.213483146;0.301587302;0.090909091;0;0;0;0;0;0;0;0.255555556;0.148148148;0.5;0;0;0.5;0.34;0.444444444;0.333333333;0.285714286;0.153846154;0.076923077;0.096774194;0.399026764;0.179730915;0.227980535;0.228484387;0.144581083;0.115239887;0.065355522;0.018167528;0.246153846;0.206467662;0.288194444;0.049924125;0.416588909;0.79921501;0.963565184;0;0;0.647856777;0.472977218;0.830033755;0.608879169;0.072662397;0;0;0;0.243128871;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.133271722;0.089937036;0;0;0.339801305;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.301587302;0.037037037;0;0.333333333;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.02E-01;3.00E-01;3.46E-01;1.66E-02;3.31E-02;5.06E-01;0;0;0;0.083333333;0.037037037;0;0;0.2;0.090909091;0.069029851;0.951204056;0;1;0.118210863;0.870151771;0.111868257;0.042105263;0.163265306;0.633802817;0.148232785;0.048795944;0.196740859;0.154077415;0.130111524;0.313131313;0.934640523;0.141824249;0.614550384;0.377294686;0.573245407;0.326403326;0.035826524;0.264036985;0.035826524;0.264036985;0.214953271;0.590673575;0.754010695;0.695;0.670403587;0.311111111;0.202797203;0.333333333;0.372353674;0.311111111;0.287382878;0.235034069;0.216326778;0.203006054;0.147103556;0.109862113;0.002899569;0;0;0.008776596;0.011428571;0.993197279;0.874868927;0.759889373;0.706069391;0.632962514;0.168235196;0.56066901;0.349752259;0.5;0.215584416;0.089471306;0.144787645;0.1086078;0.145114479;0.125545443;0.134642356;0.065189873;0.176989416;0.106317289;0.161110452;0.058926026;0.119063471;0.068490105;0.295281583;0.082619863;0.199055862;0.195335277;0.241115549;0.239805825;0;0.125;0;0.9988;0.0012;0;0;0.499424971;0.0001;0.234540527
N;0.110244327;0.089108911;0.099273882;0.123595506;0.174603175;0.090909091;0;0;0;0;0;0;0;0.144444444;0;0.14;0;0;0.86;0;0.222222222;0.333333333;0;0.076923077;0;0.096774194;0.399026764;0.10383153;0.130413625;0.137598375;0.086771635;0.082079022;0.069288956;0.005636649;0.538461538;0.246268657;0.232638889;0;0.192030147;0.772669852;0.950312032;0;0;0.647856777;0.467637032;0.618322707;0.608879169;0.072662397;0;0;0.271664001;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0.222103423;0;0;0;0;0.380198415;0;0;0;0;0;0.333333333;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.174603175;0.037037037;0;0.333333333;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.44E-01;2.42E-01;2.37E-01;2.90E-02;7.18E-02;3.63E-01;0;0;0;0.083333333;0.037037037;0;0;0.2;0.090909091;0.138059701;0.951204056;0;1;0.236421725;0.870151771;0.078932425;0.017105263;0.163265306;0.901408451;0.084856795;0.048795944;0.106518283;0.083803082;0.130111524;0.313131313;0.861556744;0.250278087;0.567103479;0.370048309;0.612812058;0.331392931;0.041797612;0.134591007;0.041797612;0.134591007;0.051401869;0.689119171;0.855614973;0.59;0.434977578;0.412345679;0.236013986;0.378250591;0.241594022;0.412345679;0.139348821;0.096102369;0.081073301;0.057470966;0.03335644;0.021227562;0.041296898;0;0.067264574;0.073138298;0.278571429;0.886054422;0.875917511;0.750167616;0.704947162;0.630686199;0.1679437;0.556514328;0.360827747;0.230416667;0.290909091;0.337550836;0.200772201;0.21145686;0.161883263;0.098616133;0.106692046;0.027742616;0.07624461;0.184452185;0.027524024;0.098843656;0.010319574;0.082833;0.297564688;0.143835616;0.118382601;0.10787172;0.133012929;0.140776699;0;0.125;0;0.0015;0.9985;0;0;0.000750038;0.0768;0.379403794
N;0.09838039;0.113861386;0.121624688;0.101123596;0.142857143;0;0.0625;0;0;0;0;0;0;0.122222222;0.037037037;1;0;0;0;0.54;0.222222222;0;0.285714286;0;0.076923077;0;0;0.089353612;0.098783455;0.139629348;0.064820136;0.024459078;0.046142209;0.002941837;0.276923077;0.348258706;0.141493056;0.166474548;0.377622302;0.802278076;0.976888965;0;0;0.647856777;0;0.401776147;0.608879169;0.072662397;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.095568415;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0;0.077059533;0;0;0;0;0;0;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0.037037037;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.57E-01;1.54E-01;1.38E-01;8.50E-02;2.55E-02;3.53E-01;0;0;0;0;0.037037037;0;0.0625;0;0;0;0.956907478;0;0.933463796;0;1;0.056218058;0.048684211;0.06122449;0.563380282;0.129798903;0.043092522;0.146661367;0.159714393;0.115241636;0.404040404;0.816993464;0.333704116;0.567103479;0.265217391;0.651907678;0.307276507;0.011942175;0.17127731;0.011942175;0.17127731;0.283489097;0.196891192;0.347593583;0.17;0.769058296;0.456790123;0.06993007;0.153664303;0.427148194;0.456790123;0.182176015;0.175494809;0.158495197;0.107316376;0.047323932;0.013603921;0;0;0;0;0;1;0.874985436;0.759805565;0.70616291;0.632962514;0.168235196;0.56066901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.323439878;0.168236301;0.101663482;0.102040816;0.128748392;0.116504854;0;0;0;0;1;0;0;0;0.1818;0
S;0.268752227;0.175742574;0.164057182;0.258426966;0.238095238;0.272727273;0.125;0;0.333333333;0.333333333;0;0;0.333333333;0.288888889;0.222222222;0.37;0.04;0;0.59;0.62;0.333333333;0.5;0;0.153846154;0.384615385;0.096774194;0.399026764;0.234425271;0.26350365;0.296014217;0.20399954;0.173095014;0.111346445;0.036604536;0.384615385;0.171641791;0.460069444;0.038598846;0.142950813;0.772669852;0.727142475;0;0;0.647856777;0.256455085;0.481937152;0.608879169;0.172065649;0;0;0;0;0;0;0;0.409556047;0.230162352;0;1;0;0;0;0;0.074933472;0.257821074;0;0;1;1;0.159503816;0.591515086;0;0;0.315375743;0;0;0;0.225719173;0;0;0.065352713;0;0;0.294062255;0;0;0;0;0.111111111;0;0;0;0;0;0.75;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.261904762;0.185185185;0.0625;0.5;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.57E-01;4.67E-01;4.22E-01;3.56E-01;1.88E-01;5.97E-01;0;0;0;0.083333333;0.148148148;0;0.125;0.2;0.181818182;0.074626866;0.846007605;0;0.861056751;0.127795527;0.829679595;0.217490062;0.163157895;0.755102041;0.605633803;0.192413163;0.186311787;0.125596184;0.162344983;0.446096654;0.202020202;0.651218063;0.254171301;0.694080434;0.197584541;0.690061234;0.342619543;0.109993715;0.185221087;0.111565053;0.233763329;0.808411215;0.611398964;0.235294118;0.595;0.66367713;0.313580247;0.20979021;0.059101655;0.846824408;0.313580247;0.238351945;0.159555483;0.145041059;0.147678558;0.096893009;0.058353916;0.129514102;0.027915739;0.29251466;0.123138298;0.567142857;0.595238095;0.824536875;0.699882668;0.703918451;0.62429783;0.148121929;0.593054224;0.423491693;0.34375;0.31038961;0.21554451;0.202541828;0.130026268;0.261743524;0.127166189;0.08956121;0.112974684;0.131125049;0.151678277;0.166093249;0.053936322;0.037061696;0.042361574;0.570776256;0.077482877;0.237439586;0.253644315;0.218777499;0.228976848;0.083333333;0.25;0.0015;0.0001;0.9984;0.0005;0.000180787;0;0.2401;0.098300074
N;0.151451313;0.123762376;0.128999319;0.157303371;0.174603175;0.090909091;0.1875;0;0;0;0;0;0;0.177777778;0.111111111;0.59;0.06;0;0.35;0.46;0.222222222;0.166666667;0.142857143;0.076923077;0;0.032258065;0.199513382;0.142731793;0.15863747;0.188880427;0.120216067;0.087253057;0.074583964;0.009521671;0.353846154;0.293532338;0.259548611;0.134855206;0.221813518;0.772669852;0.938622822;0;0;0.616014038;0.143713824;0.550913523;0.608879169;0.072662397;0;0;0;0.176955912;0;0;0;0;0;0;1;0;0;0;0;0.170375168;0;0.063607471;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.164976942;0.052103834;0;0;0.139468046;0;0;0;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.174603175;0.148148148;0.1875;0.222222222;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.72E-01;2.70E-01;2.76E-01;1.93E-01;1.31E-01;4.24E-01;0;0;0;0.083333333;0.148148148;0;0.1875;0.2;0.090909091;0.070895522;0.849176172;0;0.83072407;0.121405751;0.890387858;0.132311187;0.132894737;0.612244898;0.126760563;0.152193784;0.150823828;0.131955485;0.164975573;0.319702602;0.434343434;0.725490196;0.37541713;0.499322187;0.382125604;0.678756477;0.249480249;0.095537398;0.171351875;0.095537398;0.171351875;0.204049844;0.720207254;0.272727273;0.68;0.65470852;0.380246914;0.246503497;0.120567376;0.363636364;0.380246914;0.169255123;0.144548994;0.111587528;0.080984177;0.066733573;0.049650907;0.126965996;0.14231889;0.071058986;0.108244681;0.294285714;0.139455782;0.854829314;0.608783104;0.699148976;0.636964423;0.16094778;0.573133056;0.309239289;0.155416667;0.411688312;0.194306371;0.223777349;0.149121035;0.161775771;0.023313801;0.012622721;0.004324895;0.13876911;0.101329956;0.166093249;0.043640108;0.085108744;0.006004003;0.512937595;0.123287671;0.152410925;0.148688047;0.150815677;0.15489171;0.083333333;0;0.0006;0;0.9994;0;7.74803E-05;0;0.4375;0.153978813
S;0.18299608;0.138613861;0.132800091;0.134831461;0.095238095;0.181818182;0.125;1;0;0;0.333333333;0;0.222222222;0.144444444;0.185185185;0.93;0.07;0;0;0.48;0.111111111;0;0.142857143;0;0.461538462;0;0;0.123427903;0.139416058;0.139375476;0.115733824;0.112652869;0.081240545;0.006737031;0.353846154;0.430348259;0.231770833;0;0.337574891;0.772669852;0.950312032;0;0;0.647856777;0;0.401776147;0.608879169;0.072662397;0;0;0;0.21358724;0.17674815;0;0;0;0;0;1;0;0;0;0;0.082693087;0.25097654;0;0;0.411650244;1;0.159503816;1;0;0;0;0.294357023;0;0;0;0;0.16688932;0.103525242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.126984127;0.148148148;0.375;0.055555556;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.58E-01;2.42E-01;2.35E-01;3.17E-01;1.15E-01;5.31E-01;0;0;0;0.083333333;0.148148148;0;0.125;0.2;0.181818182;0.074626866;0.754752852;0;0.81702544;0.127795527;0.662731872;0.122089722;0.123684211;0.489795918;0.633802817;0.166361974;0.245247148;0.133147854;0.059376174;0.814126394;0.01010101;0.399881165;0.447719689;0.632625395;0.42173913;0.458313707;0.32972973;0.10087995;0.081723958;0.393463231;0.090895534;0.520249221;0.611398964;0.240641711;0.575;0.520179372;0.434567901;0.818181818;0.106382979;0.288916563;0.434567901;0.138878193;0.10472096;0.077376443;0.08551794;0.069247721;0.08257648;0;0;0;0;0;1;0.874985436;0.759805565;0.70616291;0.632962514;0.168235196;0.56066901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.717656012;0.109160959;0.187254131;0.174927114;0.161578555;0.149887976;0.083333333;0.125;0.0297;0.0004;0.9699;0.0005;0.003783623;0;0.4307;0.170731707
N;0.168130519;0.123762376;0.141082369;0.191011236;0.285714286;0;0;0;0;0;0;0;0;0.233333333;0;0.05;0;0;0.95;0;0.444444444;0.666666667;0;0.076923077;0;0.225806452;0.598540146;0.158233402;0.202919708;0.214267581;0.123204229;0.096190028;0.063388805;0.013900741;0.307692308;0.191542289;0.266493056;0.053452787;0.192030147;0.772669852;0.950312032;0;0;0.647856777;0.619639216;0.491969835;0.608879169;0.623385945;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0;0.012319496;0;0;0.488433964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.285714286;0;0;0.555555556;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.77E-01;2.78E-01;2.69E-01;1.50E-02;0.00E+00;4.65E-01;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0.072685974;0;0.040816327;1;0.089579525;0;0.119236884;0.111987974;0.074349442;0.454545455;0.875816993;0.221357063;0.586534117;0.38647343;0.594441828;0.31975052;0;0.219819551;0;0.219819551;0.166666667;0;0.144385027;0.13;0.600896861;0.407407407;0.003496503;0.063829787;0.333748443;0.407407407;0.217216446;0.158724043;0.143419896;0.119995323;0.080876952;0.055718703;0.005096213;0;0;0.015425532;0.035714286;0.976190476;0.874402889;0.759973181;0.705975872;0.632999229;0.168193554;0.56066901;0.524628388;0.75;0.345454545;0.121554451;0.218468468;0.273186502;0.365151027;0.388106221;0.261270287;0.075843882;0.276166209;0.214692844;0.402657492;0.249485189;0.289169996;0.074827663;0.321917808;0.102739726;0.165870518;0.163265306;0.201380898;0.23592233;0;0;0;0;1;0;0;0;0;0
N;0.21491308;0.193069307;0.201837985;0.224719101;0.238095238;0.454545455;0.0625;0;0;0;0;0;0;0.244444444;0.296296296;0.48;0.09;0;0.43;0.44;0.222222222;0.333333333;0;0.076923077;0;0.032258065;0.199513382;0.201667154;0.236982968;0.221629855;0.187794506;0.211665099;0.120423601;0.029306086;0.630769231;0.199004975;0.490451389;0.092516123;0.343047364;0.772669852;0.950312032;0;0.096263609;0.661842607;0.198815066;0.518993785;0.608879169;0.213318477;0;0;0;0.41665381;0;0.508059418;0.469758319;0;0.246119099;0;1;0;0;0;0;0.08190461;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0.444942589;0;0.341153649;0.065364024;0;0.15770424;0.195145346;0;0;0;0;0.111111111;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0.238095238;0.222222222;0.3125;0.388888889;0;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.92E-01;4.95E-01;5.31E-01;2.84E-01;2.36E-01;5.11E-01;0;0;0;0.333333333;0.185185185;0;0.0625;0.8;0.363636364;0.274253731;0.823193916;0;0.947162427;0.469648562;0.620573356;0.210107893;0.225;0.306122449;0.14084507;0.195003047;0.210392902;0.217408585;0.154453213;0.208178439;0.272727273;0.828877005;0.254171301;0.572977858;0.342995169;0.652378709;0.281496881;0.182589566;0.2162404;0.182589566;0.2162404;0.257009346;0.766839378;0.235294118;0.725;0.730941704;0.444444444;0.262237762;0.104018913;0.405977584;0.444444444;0.232447696;0.189020928;0.163798067;0.132362493;0.084487807;0.080748362;0.192338107;0.024661757;0.496033115;0.16143617;0.534285714;0.263605442;0.785273214;0.604341267;0.680819228;0.599038073;0.220787874;0.585916693;0.375983678;0.209166667;0.601298701;0.265250791;0.270592021;0.169630228;0.46028163;0.230021194;0.077840112;0.043459916;0.20246962;0.172815073;0.174041998;0.099477269;0.218375499;0.082388259;0.520547945;0.074486301;0.240221423;0.212827988;0.228118865;0.240403286;0.083333333;0.5;0;0.9981;0.0019;0.0227;0;0.499074954;0.2274;0.559743779
N;0.317340514;0.371287129;0.38858634;0.325842697;0.444444444;0;0.125;0;0;0;0;0;0;0.344444444;0.444444444;0.81;0;0;0.19;0.6;0.222222222;0.166666667;0.142857143;0.076923077;0;0.032258065;0.199513382;0.30973969;0.329440389;0.347296268;0.290196529;0.269755409;0.153857791;0.076644958;0.523076923;0.213930348;0.670138889;0.436257916;0.698322231;0.880071486;0.946720009;0;0;0.647856777;0;0.789742285;0.608879169;0.072662397;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.131593046;0.103321772;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0.114429178;0;0;0;0.226580704;0;0;0;0;0;0.25;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.444444444;0.074074074;0;0.166666667;0;0.5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;6.61E-01;6.74E-01;6.84E-01;5.84E-01;8.15E-02;6.02E-01;0;0;0;0.083333333;0.074074074;0.125;0.125;0;0;0.083955224;0.921419518;0.118733509;0.878669276;0;1;0.177172061;0.068421053;0.367346939;0.704225352;0.342169409;0.078580482;0.417329094;0.406614055;0.159851301;0.414141414;0.916815211;0.244160178;0.562584727;0.361352657;0.530852567;0.454054054;0.023884349;0.474013869;0.023884349;0.474013869;0.27258567;0.227979275;0.315508021;0.95;0.753363229;0.424691358;0.08041958;0.139479905;0.418430884;0.424691358;0.471013563;0.454169371;0.424426533;0.363311596;0.258822799;0.26046792;0.041824093;0.040760404;0;0.063297872;0.172857143;0.906462585;0.879063265;0.748240027;0.689610025;0.630943202;0.174106771;0.56066901;0.233168173;0.131666667;0.263636364;0.116131948;0.128700129;0.080824409;0.085993765;0;0;0;0.099568797;0.045835972;0.05979357;0.027641375;0.064691522;0;0.253424658;0.042380137;0.327104642;0.326530612;0.400866446;0.377445855;0.083333333;0;0;0;1;0;0;0;0.129;0.07957625
