Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;X62;X63;X64;X65;X66;X67;X68;X69;X70;X71;X72;X73;X74;X75;X76;X77;X78;X79;X80;X81;X82;X83;X84;X85;X86;X87;X88;X89;X90;X91;X92;X93;X94;X95;X96;X97;X98;X99;X100;X101;X102;X103;X104;X105;X106;X107;X108;X109;X110;X111;X112;X113;X114;X115;X116;X117;X118;X119;X120;X121;X122;X123;X124;X125;X126;X127;X128;X129;X130;X131;X132;X133;X134;X135;X136;X137;X138;X139;X140;X141;X142;X143;X144;X145;X146;X147;X148;X149;X150;X151;X152;X153;X154;X155;X156;X157;X158;X159;X160;X161;X162;X163;X164;X165;X166;X167;X168;X169;X170;X171;X172;X173;X174;X175;X176;X177;X178;X179;X180;X181;X182;X183;X184;X185;X186;X187;X188;X189;X190;X191;X192;X193;X194;X195;X196;X197;X198;X199;X200;X201;X202;X203;X204;X205;X206;X207;X208;X209;X210;X211;X212;X213;X214;X215;X216;X217;X218;X219;X220;X221;X222;X223;X224;X225;X226;X227;X228;X229;X230;X231;X232;X233;X234;X235;X236;X237;X238;X239;X240;X241;X242
N;0.341765335;0.272277228;0.282561833;0.359550562;0.428571429;0.272727273;0.0625;0;0;0.222222222;0;0;0.222222222;0.411111111;0.259259259;0.39;0.03;0;0.58;0.74;0.555555556;0.666666667;0.142857143;0.230769231;0.076923077;0.225806452;0.598540146;0.314273179;0.379075426;0.378522468;0.271692909;0.259642521;0.127080182;0.088928812;0.353846154;0.069651741;0.626736111;0;0.431550846;0.785957218;0.950312032;0;0;0.647856777;0.544039796;0.508338245;0.603018043;0.200508568;0;0;0;0;0.255789058;0;0;0;0.2295049;0.40147022;1;0;0;0;0;0;0;0.071427879;0;1;1;0.159503816;1;0;0;0.230085948;0;0;0;0.217412207;0;0;0.146431399;0;0;0.5767055;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.444444444;0.148148148;0.1875;0.666666667;0;0.75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6.22E-01;6.33E-01;5.79E-01;4.20E-01;1.13E-01;6.48E-01;0;0;0;0.083333333;0.074074074;0;0.0625;0.2;0.090909091;0.072761194;0.918884664;0;0.935420744;0.124600639;0.89544688;0.243611584;0.151315789;0.591836735;0.647887324;0.241163924;0.153358682;0.249205087;0.250657648;0.252788104;0.424242424;0.807486631;0.288097887;0.522819702;0.392753623;0.604804522;0.276507277;0.147705845;0.367608679;0.148334381;0.367608679;0.109034268;0.725388601;0.620320856;0.68;0.51793722;0.444444444;0.248251748;0.066193853;0.287671233;0.444444444;0.42741625;0.320854964;0.274643193;0.24345917;0.199114358;0.161564791;0.165626922;0.093166638;0.229044498;0.142287234;0.491428571;0.074829932;0.869975533;0.498910493;0.696904517;0.638579873;0.183393021;0.561734313;0.684348586;0.322083333;0.384415584;0.250790782;0.351190476;0.226106284;0.29323874;0.206084029;0.253456221;0.129219409;0.18247746;0.201630779;0.14794163;0.074211944;0.051375943;0.064487436;0.442161339;0.048373288;0.322861639;0.332361516;0.34996277;0.363629574;0.083333333;0.125;0;0.8756;0.1244;0;0;0.437821891;0.0625;0.135994087
N;0.341630697;0.297029703;0.284263671;0.314606742;0.317460317;0.181818182;0.3125;0;0;0;0.333333333;0;0.222222222;0.322222222;0.555555556;0.7;0.1;0;0.2;0.38;0.111111111;0.166666667;0;0.230769231;0.076923077;0.032258065;0.199513382;0.300087745;0.323357664;0.306676822;0.299161016;0.347130762;0.197125567;0.059330788;0.307692308;0.495024876;0.506076389;0.089184444;0.363492584;0.732465535;0.950312032;0;0;0.526946383;0.113469936;0.453861712;0.608879169;0.072662397;0;0;0;0.196160543;0.174284942;0;0;0;0;0;1;0;0;0;0.114769007;0.07934206;0;0.210393108;0;1;1;0.159503816;1;0;0;0;0.310477571;0;0.119026818;0;0;0.191503184;0.183789541;0;0;0.155094797;0;0;0;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0.181818182;0;0;0;0;0;0.349206349;0.259259259;0.1875;0.333333333;0;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.33E-01;5.15E-01;5.02E-01;5.54E-01;2.65E-01;6.18E-01;0;0;0;0.166666667;0.259259259;0.125;0.3125;0.2;0.181818182;0.15858209;0.736375158;0.124010554;0.698630137;0.121405751;0.817875211;0.277115275;0.280263158;0.448979592;0.211267606;0.264929921;0.263624842;0.265103339;0.245020669;0.308550186;0.424242424;0.762923351;0.193548387;0.661545413;0.322222222;0.601507301;0.292307692;0.195788812;0.255238237;0.516970459;0.255238237;0.590342679;0.663212435;0.203208556;0.735;0.686098655;0.320987654;0.896853147;0.089834515;0.381070984;0.320987654;0.274718693;0.235338254;0.25652253;0.182220894;0.145841309;0.153542465;0.264651612;0.272649426;0.180407037;0.198404255;0.39;0.141156463;0.681812886;0.533774723;0.684559993;0.628850461;0.164070959;0.378076063;0.354415622;0.024166667;0.274025974;0.260280163;0.273487773;0.194079612;0.164785553;0.215309812;0.218092567;0.142194093;0.014700118;0.0349905;0.346778977;0.006573737;0.010319574;0.107293751;0.461187215;0.04494863;0.34340227;0.332361516;0.316184932;0.324346527;0.166666667;0.125;0.9988;0;0.0012;0.0049;0.128991852;0;0.4333;0.082286277
N;0.176802756;0.113861386;0.122191967;0.191011236;0.174603175;0.636363636;0;0;0;0;0;0;0;0.222222222;0;0.19;0;0;0.81;0;0.333333333;0.5;0;0.153846154;0;0.161290323;0.515815085;0.166861655;0.198296837;0.215536938;0.137455465;0.112652869;0.075340393;0.01502358;0.4;0.218905473;0.299479167;0;0.192030147;0.772669852;0.950312032;0;0;0.647856777;0.243902816;0.529729694;0.608879169;0.11946573;0;0;0.833502981;0;0;0;0;0.802348901;0;0;1;0;0;0;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0.769082949;0;0;0;0;0.226850426;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.174603175;0.259259259;0.375;0.444444444;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3.10E-01;3.10E-01;3.11E-01;3.17E-01;3.59E-01;4.65E-01;0;0.25;0.2;0.25;0.259259259;0;0;0.6;0.636363636;0.447761194;0.725602028;0;1;0.766773163;0.269814503;0.186257808;0.167105263;0.306122449;0.676056338;0.153260207;0.274397972;0.139507154;0.087185269;0.178438662;0.353535354;0.73083779;0.407119021;0.455038409;0.560869565;0.397550636;0.464449064;0.193588938;0.121318321;0.193588938;0.121318321;0.026479751;0.621761658;0.486631016;0.535;0.399103139;0.387654321;0.213286713;0.215130024;0.221668742;0.387654321;0.138792624;0.101881895;0.08507318;0.075709943;0.061881163;0.054435131;0.198049381;0;0.611590204;0.127925532;0.377142857;0.391156463;0.723290225;0.734495474;0.694379501;0.568785108;0.186974265;0.597208906;0.338968231;0.404583333;0.390909091;0.173971984;0.338963964;0.316023439;0.42523917;0.358808129;0.206471649;0.130907173;0.172677381;0.213188727;0.165025507;0.31585617;0.174656014;0.372025795;0.671232877;0.09760274;0.203355064;0.16909621;0.164692344;0.18849888;0;0.875;0;0.0488;0.9512;0;0;0.02440122;0.3132;0.784429662
N;0.120508454;0.089108911;0.090254141;0.123595506;0.079365079;0.545454545;0.0625;0;0;0;0;0;0;0.133333333;0.037037037;0.46;0.15;0;0.38;0.46;0.111111111;0.166666667;0;0.076923077;0;0;0;0.114653407;0.1243309;0.141406448;0.104355821;0.094778928;0.081996974;0.005861217;0.415384615;0.375621891;0.243055556;0.083272536;0.192030147;0.772669852;0.950312032;0;0;0.606411925;0.034435701;0.425451404;0.608879169;0.072662397;0;0;0.24374485;0;0.155036584;0;0.849772313;0.180560175;0.204459845;0;1;0;0;0;0;0;0;0.06131775;0;1;1;0.159503816;1;0;0;0;0;0;0;0.212280447;0.251694095;0;0.025768201;0;0;0.050814943;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090909091;0;0;0;0;0;0.079365079;0.259259259;0.4375;0.222222222;1;0.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.56E-01;2.52E-01;2.29E-01;2.86E-01;2.75E-01;3.73E-01;0;0.25;0.4;0.166666667;0.222222222;0;0.0625;0.4;0.454545455;0.235074627;0.835868188;0;0.942270059;0.402555911;0.662731872;0.156161272;0.198684211;0.428571429;0.281690141;0.113650213;0.19391635;0.109300477;0.06576475;0.230483271;0.313131313;0.790255496;0.305895439;0.529145956;0.427536232;0.572303344;0.298960499;0.224701446;0.079785251;0.224701446;0.079785251;0.158878505;0.683937824;0.529411765;0.6;0.589686099;0.466666667;0.234265734;0.234042553;0.327521793;0.466666667;0.100885637;0.07939244;0.055104391;0.042583595;0.035467083;0.034821758;0.209559793;0.086829937;0.535701966;0.08643617;0.598571429;0.137755102;0.803448678;0.396496815;0.836154494;0.662260895;0.165653369;0.442100778;0.098222093;0.069583333;0.407792208;0.295074559;0.217664093;0.11466963;0.116521552;0.106470515;0.054498097;0.018670886;0.016464132;0.132678911;0.035828687;0.057658799;0.060918775;0.032688459;0.846270928;0.151969178;0.144234011;0.116618076;0.10106275;0.109708738;0.166666667;0.5;0.0032;0.0004;0.9964;0.023;0.000361575;0;0.4618;0.568120227
N;0.083269315;0.069306931;0.074200136;0.08988764;0.111111111;0.090909091;0.0625;0;0;0;0;0;0;0.1;0.074074074;0.3;0.1;0;0.6;0.7;0.111111111;0.166666667;0;0.076923077;0;0.032258065;0.199513382;0.078970459;0.092214112;0.104848946;0.070106884;0.070790216;0.07881997;0.002807096;0.507692308;0.330845771;0.1875;0.036310444;0.192030147;0.772669852;0.950312032;0;0;0.645497325;0.241150329;0.458208315;0.608879169;0.072662397;0;0;0;0.195851976;0;0;0;0;0;0;1;0;0;0;0;0;0;0.059892021;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.163110314;0.01224786;0;0;0.206494343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090909091;0;0;0;0;0;0.111111111;0.074074074;0.0625;0.222222222;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.98E-01;1.96E-01;1.71E-01;1.09E-01;8.04E-02;3.02E-01;0;0;0;0.083333333;0.074074074;0;0.0625;0.2;0.090909091;0.069029851;0.92712294;0;0.944227006;0.118210863;0.902192243;0.089721749;0.084210526;0.326530612;0.38028169;0.087903717;0.07287706;0.082670906;0.099210823;0.256505576;0.393939394;0.779560309;0.351501669;0.485765929;0.434299517;0.601036269;0.321829522;0.077309868;0.099172321;0.077309868;0.099172321;0.165109034;0.663212435;0.77540107;0.625;0.598654709;0.434567901;0.227272727;0.342789598;0.332503113;0.434567901;0.111325033;0.073004543;0.055634678;0.037984879;0.023351577;0.010968708;0.105702487;0.076554204;0.112797516;0.114095745;0.467142857;0.239795918;0.84620762;0.619175327;0.671093239;0.645335389;0.162821687;0.583040375;0.262314194;0.126666667;0.292207792;0.22322639;0.162966538;0.102343908;0.108889606;0;0;0;0.051744414;0.121754275;0.013168822;0.050134643;0.0021083;0.010673783;0.353881279;0.196489726;0.087164213;0.081632653;0.091382928;0.096116505;0.083333333;0;0;0;1;0;0;0;0.3;0.2463661
S;0.241903932;0.212871287;0.217267983;0.235955056;0.253968254;0.272727273;0.125;0;0.333333333;0;0;0;0;0.266666667;0.222222222;0.52;0.08;0;0.4;0.5;0.333333333;0.333333333;0.142857143;0.076923077;0.307692308;0.032258065;0.199513382;0.211319099;0.242092457;0.268849962;0.181703252;0.152869238;0.097579425;0.028205704;0.384615385;0.184079602;0.409722222;0.10011819;0.383707232;0.772669852;0.950312032;0;0;0.647856777;0.20534482;0.543425847;0.608879169;0.223742763;0;0;0;0;0.392824478;0;0;0;0.253598583;0;1;0;0;0;0;0;0.514287244;0;0;1;0.583417171;0.159503816;1;0;0;0;0;0;0;0.198640475;0;0;0.125532557;0;0;0.192649406;0;0;0;0;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.253968254;0.185185185;0.125;0.388888889;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.10E-01;4.19E-01;4.11E-01;4.53E-01;1.56E-01;5.97E-01;0;0;0;0.083333333;0.148148148;0;0.125;0.2;0.181818182;0.074626866;0.797845374;0;0.822896282;0.127795527;0.765598651;0.151050539;0.151315789;0.265306122;0.577464789;0.231566118;0.236375158;0.214626391;0.151446825;0.788104089;0.181818182;0.531788473;0.379866518;0.47220967;0.517391304;0.605746585;0.185031185;0.120993086;0.223249571;0.120993086;0.274028782;0.855140187;0.658031088;0.262032086;0.655;0.639013453;0.417283951;0.225524476;0.115839243;0.884184309;0.417283951;0.293971677;0.262187703;0.23256871;0.155057289;0.105294197;0.116474455;0.064229857;0;0.126250431;0.097340426;0.522857143;0.797619048;0.852266107;0.71798525;0.695127654;0.633696809;0.168235196;0.56066901;0.253570388;0.335416667;0.294805195;0.104835066;0.104890605;0.078601738;0.166397936;0.041391348;0;0;0.132301058;0.081776441;0.147704354;0.032789482;0;0;0.50304414;0.067636986;0.257614926;0.239067055;0.254247614;0.258028379;0.083333333;0.125;0;0.9786;0.0214;0;0;0.489324466;0.2183;0.211874846
N;0.170514394;0.158415842;0.165815748;0.179775281;0.19047619;0.454545455;0;0;0;0;0;0;0;0.188888889;0.222222222;0.56;0.06;0.181818182;0.33;0.52;0.111111111;0.166666667;0;0.153846154;0;0.032258065;0.199513382;0.169640246;0.180778589;0.200558517;0.161590622;0.154515522;0.124659607;0.014596901;0.353846154;0.405472637;0.328993056;0.202996566;0.192030147;0.776294832;0.952531821;0;0;0.677438648;0.180026572;0.458060973;0.608879169;0.072662397;0;0.297878726;0;0.412701211;0;0;0.514366662;0.192412295;0;0;1;0;0;0.4853308;0;0;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0.356608228;0.057425631;0;0;0.187920074;0;0;0;0;0;0;0;0;0;0;0.25;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.19047619;0.185185185;0.1875;0.277777778;0;0.25;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.34E-01;3.38E-01;3.14E-01;2.24E-01;2.02E-01;4.39E-01;0;0;0;0.166666667;0.185185185;0;0;0.4;0.454545455;0.141791045;0.83269962;0;1;0.242811502;0.554806071;0.179443498;0.217105263;0.326530612;0.169014085;0.167123705;0.16730038;0.172496025;0.154077415;0.200743494;0.454545455;0.765894236;0.442714127;0.405784004;0.375845411;0.707489402;0.201247401;0.146134507;0.189098501;0.146134507;0.189098501;0.221183801;0.663212435;0.513368984;0.67;0.679372197;0.227160494;0.227272727;0.226950355;0.377334994;0.227160494;0.162794678;0.166835659;0.145677404;0.107576191;0.085553475;0.103055291;0.16712064;0;0.474991376;0.13962766;0.421428571;0.37755102;0.872305721;0.616325846;0.671841392;0.62892389;0.142250354;0.633535741;0.380647042;0.127083333;0.38961039;0.31224582;0.305662806;0.18185492;0.193485972;0;0.063915047;0.126582278;0.035476284;0.248258391;0.103452367;0.15769048;0.022192632;0.044251723;0.490106545;0.097174658;0.188209509;0.16909621;0.185067353;0.187453323;0;0.5;0;0.9569;0.0431;0;0;0.516775839;0.2204;0.415126879
N;0.176010771;0.128712871;0.128261856;0.191011236;0.222222222;0.181818182;0.125;0;0;0;0;0;0;0.222222222;0.037037037;0.33;0.1;0;0.57;0.32;0.333333333;0.333333333;0.142857143;0.076923077;0;0.096774194;0.399026764;0.166861655;0.198540146;0.214521452;0.137455465;0.112652869;0.07322239;0.013721087;0.230769231;0.258706468;0.256944444;0;0.192030147;0.772669852;0.950312032;0;0.213387173;0.611531738;0.31745525;0.615282094;0.608879169;0.072662397;0;0;0.266642431;0;0.150546687;0;0;0;0;0;1;0;0;0;0.121000602;0;0;0.067154114;0;1;1;0.159503816;1;0;0;0;0;0;0.115735225;0;0.258889483;0;0;0;0.292895553;0.337455892;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0.222222222;0.148148148;0.1875;0.444444444;0;0.75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.72E-01;2.70E-01;2.72E-01;1.57E-01;1.84E-01;4.65E-01;0;0;0;0.166666667;0.148148148;0.125;0.125;0.2;0.181818182;0.231343284;0.840937896;0.124010554;0.875733855;0.24600639;0.790893761;0.180011357;0.178947368;0.591836735;0.014084507;0.137720902;0.159062104;0.12718601;0.12889891;0.26394052;0.262626263;0.756387403;0.362625139;0.507004067;0.379710145;0.721149317;0.168399168;0.116593338;0.159868764;0.116593338;0.159868764;0.043613707;0.658031088;0.310160428;0.69;0.423766816;0.407407407;0.225524476;0.137115839;0.235367372;0.407407407;0.171394344;0.12331684;0.118784279;0.105068981;0.085801786;0.06072658;0.156576751;0.109094023;0.190410486;0.157712766;0.527142857;0.12755102;0.897704765;0.524807241;0.614888245;0.641884202;0.207004248;0.606583573;0.552317109;0.39375;0.306493506;0.290103931;0.403474903;0.423519903;0.336235623;0.35569131;0.227409337;0.134177215;0.344570757;0.344601013;0.351999051;0.210913987;0.237461163;0.080942851;0.479452055;0.101455479;0.180566483;0.16909621;0.174981385;0.189992532;0.166666667;0.125;0.0092;0;0.9908;0;0.001188032;0;0.3163;0.387780241
N;0.217304875;0.207920792;0.216700703;0.224719101;0.26984127;0.090909091;0.1875;0;0;0;0;0;0;0.244444444;0.222222222;0.48;0.04;0;0.48;0.4;0.222222222;0.333333333;0;0.076923077;0;0.032258065;0.199513382;0.2095642;0.229683698;0.236100533;0.187794506;0.158043274;0.093948563;0.024185942;0.430769231;0.291044776;0.378472222;0.24820527;0.329342763;0.772669852;0.950312032;0;0;0.647856777;0.145006386;0.570175204;0.559671952;0.180350393;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.08117871;0;0.070332919;0.581923292;1;1;0.159503816;1;0;0;0;0;0;0;0;0;0;0.109816009;0;0;0.149437801;0;0;0;0;0.111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0.26984127;0.148148148;0.0625;0.333333333;0;0.5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3.89E-01;3.89E-01;4.03E-01;4.73E-01;1.09E-01;5.11E-01;1;0;0;0;0.111111111;0;0.1875;0;0;0;0.896704689;0;0.840508806;0;1;0.208972175;0.167105263;0.612244898;0.464788732;0.193936624;0.117237009;0.213434022;0.2104472;0.275092937;0.474747475;0.790849673;0.243604004;0.568459105;0.389855072;0.529910504;0.429106029;0.073538655;0.282081873;0.073538655;0.282081873;0.339563863;0.81865285;0;0.2;0.849775785;0.44691358;0.27972028;0;0.471980075;0.44691358;0.240491165;0.190156554;0.244235023;0.221426901;0.116799272;0.101956475;0.147526579;0.153622196;0;0.207978723;0.317142857;0.166666667;0.770243505;0.688065706;0.611521556;0.683335169;0.169942534;0.485245552;0.290294375;0.21125;0.416883117;0.289652056;0.195624196;0.188927056;0.15489627;0.09849146;0.069925867;0.0157173;0.067620541;0.146532616;0.02171076;0.089577063;0.015423879;0.135423616;0.563926941;0.084760274;0.2193155;0.21574344;0.232654166;0.248917102;0;0;0;1;0;0;0;0.500025001;0.2273;0
N;0.313230111;0.267326733;0.279498525;0.325842697;0.349206349;0.454545455;0.1875;0;0;0;0;0;0;0.366666667;0.296296296;0.53;0;0;0.47;0.42;0.444444444;0.5;0.142857143;0.153846154;0.076923077;0.032258065;0.199513382;0.292629424;0.337712895;0.354912414;0.254338582;0.223894638;0.118608169;0.062250168;0.276923077;0.146766169;0.505208333;0.171027033;0.403111276;0.783227922;0.892991015;0;0;0.647856777;0.199389252;0.642794953;0.608879169;0.163459632;0;0;0;0.236994262;0;0;0;0.671804379;0;0.405981121;1;0;0;0;0.131923625;0.183885658;0;0;0;1;1;0.159503816;1;0;0;0;0;0;0.116476496;0;0;0.169515409;0.157197527;0;0;0.213674107;0;0.2;0;0;0.222222222;0;0;0;0.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.349206349;0.296296296;0.25;0.444444444;1;0.75;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5.12E-01;5.15E-01;4.63E-01;4.82E-01;2.60E-01;6.18E-01;0;0.25;0.2;0.166666667;0.259259259;0.125;0.1875;0.2;0.363636364;0.162313433;0.739543726;0.126649077;0.818982387;0.124600639;0.618887015;0.273140261;0.265789474;0.346938776;0.549295775;0.271633151;0.280101394;0.275834658;0.246899662;0.171003717;0.333333333;0.782531194;0.258064516;0.622684139;0.330917874;0.61328309;0.406652807;0.176618479;0.339721124;0.176618479;0.339721124;0.288161994;0.652849741;0.240641711;0.845;0.775784753;0.382716049;0.223776224;0.106382979;0.430884184;0.382716049;0.354126556;0.303597502;0.242416896;0.215879862;0.173993565;0.180244657;0.235392321;0.047268368;0.580200069;0.191755319;0.632857143;0.426870748;0.968891996;0.510140798;0.467034509;0.641627198;0.223411343;0.719292639;0.427572136;0.201666667;0.380519481;0.279258925;0.279440154;0.216407355;0.293023756;0.282508415;0.15728311;0.165189873;0.112112897;0.145503483;0.22280223;0.110486298;0.046271638;0.103624639;0.571537291;0.052226027;0.323311229;0.309037901;0.319975631;0.329723674;0;0.5;0;0.0717;0.9283;0;0;0.035851793;0.288;0.164572555
